Time since maneuver start,Periasis,Velocity
0.0,99552.97372,1633.53788
1.06,98519.79735,1633.30829
2.1,97505.98383,1633.0828
3.14,96492.61524,1632.85721
4.18,95479.76566,1632.63156
5.22,94447.97649,1632.40149
6.34,93358.37294,1632.15833
7.56,92191.61128,1631.89771
8.62,91161.54919,1631.66743
9.66,90151.44912,1631.44142
10.7,89122.46128,1631.21101
11.84,88016.42007,1630.96312
12.96,86949.78339,1630.72387
14.0,85941.86548,1630.4976
15.04,84915.10373,1630.26692
16.16,83830.81517,1630.02311
17.24,82785.82766,1629.78794
18.38,81683.39971,1629.53964
19.5,80620.25217,1629.29998
20.54,79615.63574,1629.07334
21.58,78592.24128,1628.84228
22.66,77550.10044,1628.60681
23.78,76489.24517,1628.36691
24.82,75486.79747,1628.14004
25.86,74484.87783,1627.91311
26.9,73464.23413,1627.68177
28.02,72386.415,1627.43728
29.1,71347.67044,1627.20146
30.24,70271.05716,1626.95685
31.28,69271.89499,1626.72966
32.32,68254.06374,1626.49805
33.38,67255.97288,1626.27076
34.42,66258.41294,1626.04342
35.46,65242.21589,1625.81167
36.54,64207.41344,1625.57549
37.68,63115.74443,1625.32614
38.8,62043.85049,1625.08111
39.88,61010.82369,1624.84479
41.0,59940.14402,1624.59966
42.06,58946.49559,1624.372
43.1,57934.28783,1624.13992
44.24,56846.30639,1623.89028
45.36,55797.10844,1623.64935
46.4,54805.68995,1623.42152
47.44,53795.75657,1623.18928
48.58,52729.26169,1622.94384
49.62,51739.50171,1622.7159
50.66,50750.2779,1622.48792
51.68,49761.59078,1622.25991
52.82,48678.45422,1622.00994
53.94,47614.94882,1621.76431
55.0,46608.99105,1621.53181
56.08,45584.62772,1621.29927
57.14,44579.79828,1621.06231
58.28,43499.75701,1620.81215
59.4,42439.29432,1620.56635
60.48,41417.29736,1620.32929
61.56,40395.88199,1620.09221
62.7,39318.35277,1619.84631
63.82,38260.35927,1619.59599
64.88,37259.62113,1619.36321
65.94,36278.31045,1619.1348
66.98,35297.54028,1618.90637
68.02,34317.31096,1618.67791
69.06,33337.62273,1618.44943
70.1,32339.65131,1618.21653
71.18,31323.42851,1617.97921
72.3,30270.18466,1617.73309
73.38,29255.15143,1617.49573
74.5,28203.14121,1617.24956
75.56,27226.83699,1617.02096
76.6,26251.07432,1616.79234
77.64,25257.10393,1616.5593
78.7,24263.69545,1616.32625
79.78,23270.8484,1616.09319
80.82,22297.27901,1615.8645
81.86,21305.54097,1615.63141
82.98,20258.2717,1615.3851
84.04,19267.67398,1615.15198
85.12,18408.27231,1614.94956
86.14,17910.13339,1614.83207
87.18,17603.95712,1614.75972
